Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+15.81152344 +3.97705078 -8.32324219 +149.65576172 +41.92382813 +148.82080078 +1554149976.62229991 +804
+15.80712891 +3.95507813 -8.31005859 +149.34814453 +41.94580078 +149.61181641 +1554149976.62649989 +800
+15.79394531 +3.91992188 -8.32324219 +149.21630859 +41.90185547 +150.82031250 +1554149976.63059998 +804
+15.78515625 +3.89794922 -8.34082031 +149.10644531 +41.83593750 +152.02880859 +1554149976.63479996 +804
+15.78515625 +3.88037109 -8.33203125 +148.95263672 +41.87988281 +153.10546875 +1554149976.63899994 +800
+15.77636719 +3.85839844 -8.34521484 +148.93066406 +41.83593750 +154.35791016 +1554149976.64310002 +800
+15.77197266 +3.84082031 -8.35400391 +148.90869141 +41.81396484 +155.63232422 +1554149976.64730000 +796
+15.77197266 +3.82763672 -8.34960938 +148.90869141 +41.90185547 +156.84082031 +1554149976.65149999 +788
+15.76757813 +3.82763672 -8.34960938 +148.95263672 +41.90185547 +158.02734375 +1554149976.65560007 +776
+15.76757813 +3.81005859 -8.34960938 +148.95263672 +41.92382813 +159.25781250 +1554149976.65980005 +768
+15.77197266 +3.79248047 -8.35400391 +149.04052734 +41.96777344 +160.48828125 +1554149976.66400003 +760
+15.76757813 +3.80126953 -8.35400391 +149.10644531 +41.98974609 +161.49902344 +1554149976.66810012 +748
+15.76757813 +3.77929688 -8.34960938 +149.10644531 +42.03369141 +162.55371094 +1554149976.67230010 +736
+15.76757813 +3.75732422 -8.35839844 +149.19433594 +42.09960938 +163.67431641 +1554149976.67650008 +728
+15.76757813 +3.76611328 -8.34521484 +149.23828125 +42.14355469 +164.39941406 +1554149976.68059993 +716
+15.76757813 +3.75292969 -8.33642578 +149.21630859 +42.23144531 +165.16845703 +1554149976.68479991 +704
+15.76318359 +3.74414063 -8.34082031 +149.34814453 +42.31933594 +166.02539063 +1554149976.68899989 +696
+15.76318359 +3.75732422 -8.32763672 +149.39208984 +42.40722656 +166.53076172 +1554149976.69309998 +688
+15.75878906 +3.74414063 -8.31445313 +149.37011719 +42.51708984 +167.10205078 +1554149976.69729996 +680
+15.75439453 +3.73095703 -8.31445313 +149.45800781 +42.62695313 +167.71728516 +1554149976.70140004 +672
+15.75439453 +3.73974609 -8.30566406 +149.47998047 +42.73681641 +168.04687500 +1554149976.70560002 +664
+15.75000000 +3.73095703 -8.28808594 +149.47998047 +42.86865234 +168.37646484 +1554149976.70980000 +660
+15.74121094 +3.72656250 -8.28369141 +149.54589844 +43.00048828 +168.79394531 +1554149976.71390009 +652
+15.73681641 +3.73974609 -8.26611328 +149.56787109 +43.13232422 +168.96972656 +1554149976.71810007 +648
+15.72802734 +3.73535156 -8.24853516 +149.56787109 +43.26416016 +169.18945313 +1554149976.72230005 +644
+15.72363281 +3.73535156 -8.23974609 +149.61181641 +43.39599609 +169.40917969 +1554149976.72639990 +640
+15.71923828 +3.74414063 -8.23095703 +149.67773438 +43.52783203 +169.58496094 +1554149976.73060012 +636
