Sensor 2 position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+17.08154297 +0.59326172 -8.24853516 +152.60009766 +39.08935547 +127.77099609 +1554150170.26309991 +516
+17.09033203 +0.59765625 -8.24853516 +152.75390625 +39.06738281 +127.63916016 +1554150170.26719999 +520
+17.10351563 +0.60644531 -8.25292969 +152.92968750 +39.02343750 +127.55126953 +1554150170.27139997 +524
+17.11230469 +0.61083984 -8.25732422 +153.12744141 +39.00146484 +127.46337891 +1554150170.27550006 +524
+17.12548828 +0.62402344 -8.26171875 +153.39111328 +38.95751953 +127.35351563 +1554150170.27970004 +528
+17.13427734 +0.63281250 -8.26611328 +153.61083984 +38.95751953 +127.28759766 +1554150170.28390002 +528
+17.14306641 +0.64160156 -8.27050781 +153.83056641 +38.91357422 +127.24365234 +1554150170.28800011 +528
+17.15185547 +0.65039063 -8.27490234 +154.07226563 +38.91357422 +127.17773438 +1554150170.29220009 +528
+17.15625000 +0.65917969 -8.27490234 +154.27001953 +38.91357422 +127.08984375 +1554150170.29640007 +528
+17.16064453 +0.66796875 -8.27929688 +154.44580078 +38.86962891 +127.02392578 +1554150170.30049992 +532
+17.16943359 +0.67236328 -8.28369141 +154.57763672 +38.86962891 +126.95800781 +1554150170.30469990 +532
+17.17382813 +0.67236328 -8.28808594 +154.70947266 +38.86962891 +126.89208984 +1554150170.30890012 +532
+17.17382813 +0.67675781 -8.29687500 +154.79736328 +38.82568359 +126.80419922 +1554150170.31299996 +532
+17.17382813 +0.67236328 -8.29687500 +154.81933594 +38.82568359 +126.76025391 +1554150170.31719995 +532
+17.17382813 +0.66796875 -8.29687500 +154.84130859 +38.84765625 +126.65039063 +1554150170.32139993 +532
+17.16943359 +0.65917969 -8.30566406 +154.79736328 +38.80371094 +126.56250000 +1554150170.32550001 +536
+17.16943359 +0.65039063 -8.31005859 +154.75341797 +38.78173828 +126.49658203 +1554150170.32969999 +540
+17.16503906 +0.63720703 -8.31884766 +154.66552734 +38.75976563 +126.38671875 +1554150170.33389997 +540
+17.16064453 +0.62841797 -8.32324219 +154.57763672 +38.73779297 +126.27685547 +1554150170.33800006 +544
+17.15625000 +0.61523438 -8.32763672 +154.46777344 +38.73779297 +126.18896484 +1554150170.34220004 +544
+17.15185547 +0.60205078 -8.32763672 +154.35791016 +38.73779297 +126.10107422 +1554150170.34629989 +548
+17.14746094 +0.58447266 -8.33203125 +154.20410156 +38.71582031 +125.99121094 +1554150170.35050011 +552
+17.13867188 +0.57128906 -8.33642578 +154.07226563 +38.67187500 +125.90332031 +1554150170.35470009 +552
+17.13427734 +0.55810547 -8.34521484 +153.94042969 +38.64990234 +125.81542969 +1554150170.35879993 +552
+17.12988281 +0.54492188 -8.34521484 +153.80859375 +38.62792969 +125.70556641 +1554150170.36299992 +556
+17.12548828 +0.53613281 -8.34960938 +153.67675781 +38.60595703 +125.59570313 +1554150170.36719990 +552
+17.12548828 +0.52294922 -8.35400391 +153.56689453 +38.58398438 +125.48583984 +1554150170.37129998 +552
