Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+14.40966797 +2.72900391 -4.55712891 -131.35253906 +74.75097656 -90.65917969 +1554322408.78090000 +664
+16.27294922 -2.21044922 -5.68652344 +141.61376953 +53.85498047 -65.80810547 +1554322408.78090000 +996
+14.40966797 +2.72900391 -4.55712891 -131.33056641 +74.72900391 -90.61523438 +1554322408.78500009 +660
+16.26855469 -2.21044922 -5.68652344 +141.61376953 +53.85498047 -65.83007813 +1554322408.78500009 +992
+14.40966797 +2.73339844 -4.55712891 -131.30859375 +74.70703125 -90.59326172 +1554322408.78920007 +660
+16.26855469 -2.21044922 -5.68652344 +141.61376953 +53.85498047 -65.85205078 +1554322408.78920007 +992
+14.40966797 +2.73339844 -4.55712891 -131.28662109 +74.70703125 -90.57128906 +1554322408.79340005 +656
+16.26416016 -2.20605469 -5.68212891 +141.61376953 +53.87695313 -65.87402344 +1554322408.79340005 +988
+14.40966797 +2.73339844 -4.55712891 -131.26464844 +74.68505859 -90.57128906 +1554322408.79749990 +656
+16.26416016 -2.20605469 -5.68212891 +141.61376953 +53.87695313 -65.91796875 +1554322408.79749990 +988
+14.40966797 +2.73339844 -4.55712891 -131.26464844 +74.66308594 -90.54931641 +1554322408.80170012 +652
+16.26416016 -2.20166016 -5.68212891 +141.61376953 +53.87695313 -65.93994141 +1554322408.80170012 +988
+14.40966797 +2.73779297 -4.55712891 -131.24267578 +74.64111328 -90.54931641 +1554322408.80590010 +652
+16.25976563 -2.19726563 -5.67773438 +141.63574219 +53.89892578 -65.98388672 +1554322408.80590010 +988
+14.40966797 +2.73779297 -4.55712891 -131.24267578 +74.61914063 -90.54931641 +1554322408.80999994 +652
+16.25976563 -2.19287109 -5.67773438 +141.63574219 +53.89892578 -66.00585938 +1554322408.80999994 +988
+14.40966797 +2.73779297 -4.55712891 -131.22070313 +74.59716797 -90.54931641 +1554322408.81419992 +648
+16.25976563 -2.18847656 -5.67333984 +141.65771484 +53.92089844 -66.04980469 +1554322408.81419992 +988
+14.41406250 +2.74218750 -4.55712891 -131.22070313 +74.57519531 -90.54931641 +1554322408.81830001 +648
+16.25976563 -2.18408203 -5.67333984 +141.65771484 +53.92089844 -66.07177734 +1554322408.81830001 +984
+14.41406250 +2.74218750 -4.56152344 -131.22070313 +74.55322266 -90.54931641 +1554322408.82249999 +648
+16.25976563 -2.18408203 -5.67333984 +141.67968750 +53.92089844 -66.09375000 +1554322408.82249999 +984
+14.41406250 +2.74658203 -4.56152344 -131.22070313 +74.53125000 -90.54931641 +1554322408.82669997 +644
+16.25976563 -2.17968750 -5.66894531 +141.70166016 +53.94287109 -66.11572266 +1554322408.82669997 +984
+14.41406250 +2.74658203 -4.56152344 -131.22070313 +74.50927734 -90.57128906 +1554322408.83080006 +644
+16.25976563 -2.17529297 -5.66894531 +141.70166016 +53.94287109 -66.15966797 +1554322408.83080006 +984
+14.41406250 +2.75097656 -4.56152344 -131.22070313 +74.46533203 -90.59326172 +1554322408.83500004 +644
