Sensor position, angle , timestamp, and quality in inches, degrees and seconds, respectively

 x            y            z            a            e            r            timestamp          quality
----------------------------------------------------------------------------------------------------------------

+5.93261719 -1.27001953 -8.85498047 -111.35742188 -82.48535156 +23.09326172 +1554389008.62689996 +272
+14.58544922 +2.83886719 +1.61718750 -169.67285156 +2.02148438 +128.69384766 +1554389008.62689996 +460
+5.92822266 -1.26562500 -8.85498047 -111.15966797 -82.46337891 +22.89550781 +1554389008.63109994 +276
+14.58544922 +2.83886719 +1.61718750 -169.67285156 +2.02148438 +128.69384766 +1554389008.63109994 +460
+5.92382813 -1.26123047 -8.85498047 -110.96191406 -82.46337891 +22.71972656 +1554389008.63529992 +276
+14.58544922 +2.83886719 +1.61718750 -169.67285156 +2.02148438 +128.69384766 +1554389008.63529992 +460
+5.91943359 -1.25683594 -8.85498047 -110.78613281 -82.46337891 +22.54394531 +1554389008.63940001 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +2.02148438 +128.69384766 +1554389008.63940001 +460
+5.91943359 -1.25683594 -8.85498047 -110.58837891 -82.44140625 +22.36816406 +1554389008.64359999 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +2.02148438 +128.69384766 +1554389008.64359999 +460
+5.91503906 -1.25244141 -8.85498047 -110.39062500 -82.44140625 +22.17041016 +1554389008.64779997 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +2.02148438 +128.69384766 +1554389008.64779997 +460
+5.91064453 -1.24804688 -8.85498047 -110.21484375 -82.41943359 +22.01660156 +1554389008.65190005 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +2.02148438 +128.69384766 +1554389008.65190005 +460
+5.90625000 -1.24365234 -8.85498047 -110.06103516 -82.41943359 +21.86279297 +1554389008.65610003 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +2.02148438 +128.69384766 +1554389008.65610003 +460
+5.90625000 -1.23925781 -8.85498047 -109.88525391 -82.39746094 +21.70898438 +1554389008.66030002 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +1.99951172 +128.69384766 +1554389008.66030002 +460
+5.90185547 -1.23925781 -8.85498047 -109.75341797 -82.39746094 +21.57714844 +1554389008.66440010 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +1.99951172 +128.69384766 +1554389008.66440010 +460
+5.90185547 -1.23486328 -8.85498047 -109.59960938 -82.37548828 +21.46728516 +1554389008.66860008 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +1.99951172 +128.69384766 +1554389008.66860008 +460
+5.89746094 -1.23046875 -8.85498047 -109.46777344 -82.35351563 +21.33544922 +1554389008.67269993 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +1.99951172 +128.69384766 +1554389008.67269993 +460
+5.89746094 -1.22607422 -8.85498047 -109.35791016 -82.35351563 +21.24755859 +1554389008.67689991 +276
+14.58544922 +2.83886719 +1.61279297 -169.67285156 +1.99951172 +128.71582031 +1554389008.67689991 +460
+5.89746094 -1.22607422 -8.85058594 -109.27001953 -82.33154297 +21.18164063 +1554389008.68109989 +276
